locus	vendored_reading	american_edition_reading
Ex.6.12	Moses answered before the Lord: Behold the children of Israel do not hearken to me: and how will Pharao hear me, especially as I am of uncircumcised lips?	Moses answered before the Lord Behold the children of Israel do no hearken to me; and how will Pharao hear me, especially as I am of uncircumcised lips?
Ex.6.16	And these are the names of the sons of Levi by their kindreds: Gerson, and Caath, and Merari. And the years of the life of Levi were a hundred and thirty-seven.	And these are the names of the sons of Levi by their kindreds: Gerson, and Caath, and Merari. And the years of the life of Levi were a hundred and thirty seven.
Ex.8.3	And the river shall bring forth an abundance of frogs; which shall come up and enter into thy house, and thy bedchamber, and upon thy bed, and into the houses of thy servants, and to thy people, and into thy ovens, and into the remains of thy meats:	And the river shall bring forth an abundance of frogs: which shall come up, and enter into thy house, and thy bedchamber, and upon thy bed, and in the houses of thy servants, and to thy people, and into thy ovens, and into the remains of thy meats;
Ex.8.10	And he answered: To morrow. But he said: I will do according to thy word; that thou mayest know that there is none like to the Lord our God.	And he answered: Tomorrow. But he said: I will do according to thy word; that thou mayst know that there is none like to the Lord our God.
Ex.8.18	And the magicians with their enchantments practised in like manner, to bring forth sciniphs, and they could not: and there were sciniphs as well on men as on beasts.	And the magicians with their enchantments practiced in like manner, to bring forth sciniphs, and they could not and there were sciniphs as well on men as on beasts.
Ex.8.19	And the magicians said to Pharao: This is the finger of God. And Pharao's heart was hardened, and he hearkened not unto them, as the Lord had commanded.	And the magicians said to Pharao This is the finger of God. And Pharao heart was hardened, and he hearkened not unto them, as the Lord had commanded.
Ex.8.23	And I will put a division between my people and thy people: to morrow shall this sign be.	And I will put a division between my people and thy people: tomorrow shall this sign be.
Ex.8.29	And Moses said: I will go out from thee, and will pray to the Lord: and the flies shall depart from Pharao, and from his servants, and from his people to morrow: but do not deceive any more, in not letting the people go to sacrifice to the Lord.	And Moses said: I will go out from thee, and will pray to the Lord: and the flies shall depart from Pharao, and from his servants, and from his people tomorrow: but do not deceive any more, in not letting the people go to sacrifice to the Lord.
Ex.9.5	And the Lord appointed a time, saying: To morrow will the Lord do this thing in the land.	And the Lord appointed a time, saying: Tomorrow will the Lord do this thing in the land.
Ex.9.14	For I will at this time send all my plagues upon thy heart, and upon thy servants, and upon thy people; that thou mayst know that there is none like me in all the earth.	For I will at this time send all my plagues upon thy heart, and upon thy servants, and upon thy people: that thou mayst know there is none like me in all the earth.
Ex.9.18	Behold I will cause it to rain to morrow at this same hour, an exceeding great hail; such as hath not been in Egypt from the day that it was founded, until this present time.	Behold I will cause it to rain tomorrow at this same hour, an exceeding great hail: such as hath not been in Egypt from the day that it was founded, until this present time.
Ex.9.23	And Moses stretched forth his rod towards heaven, and the Lord sent thunder and hail, and lightnings running along the ground: and the Lord rained hail upon the land of Egypt.	And Moses stretched forth his rod towards heaven, and the Lord sent thunder and hail, and lightning running along the ground: and the Lord rained hail upon the land of Egypt.
Ex.9.24	And the hail and fire mixt with it drove on together: and it was of so great bigness, as never before was seen in the whole land of Egypt since that nation was founded.	And the hail and fire mixed with it drove on together: and it was of so great bigness, as never before was seen in the whole land of Egypt since that nation was founded.
Ex.9.28	Pray ye to the Lord that the thunderings of God and the hail may cease: that I may let you go, and that ye may stay here no longer.	Pray ye to the Lord, that the thunderings of God and the hail may cease: that I may let you go, and that you may stay here no longer.
Ex.9.31	The flax therefore, and the barley were hurt, because the barley was green, and the flax was now bolled;	The flax therefore and the barley were hurt, because the barley was green, and the flax was now boiled:
Ex.10.4	But if thou resist, and wilt not let them go, behold I will bring in to-morrow the locusts into thy coasts;	But if thou resist, and wilt not let them go, behold I will bring in tomorrow the locust into thy coasts:
Ex.10.7	And Pharao's servants said to him: How long shall we endure this scandal? Iet the men go to sacrifice to the Lord their God. Dost thou not see that Egypt is undone?	And Pharao's servants said to him: How long shall we endure this scandal? let the men go to sacrifice to the Lord their God. Dost thou not see that Egypt is undone?
Ex.10.12	And the Lord said to Moses: Stretch forth thy hand upon the land of Egypt unto the locust, that it come upon it, and devour every herb that is left after the hail.	And the Lord said to Moses: Stretch forth thy hand upon the land of Egypt unto the locust, that it may come upon it, and devour every herb that is left after the hail.
Ex.10.25	Moses said: Thou shalt give us also sacrifices and burnt-offerings, to the Lord our God.	Moses said: Thou shalt give us also sacrifices and burnt offerings, to the Lord our God.
Ex.10.29	Moses answered: So shall it be as thou hast spoken, I will not see thy face anymore.	Moses answered: So shall it be as thou hast spoken, I will not see thy face any more.
Ex.11.4	And he said: Thus saith the Lord: At midnight I will enter into Egypt:	And he said: Thus said the Lord: At midnight I will enter into Egypt.
